,TI,AB,CARP (Yes/No),Exact/Lower-Bounds,Heuristics,Evolutionary,Variant,Alt_variant,Investigate,Comments,Source
"MELECHOVSKY J, 2014, MATHEMATICAL METHODS IN ECONOMICS (MME 2014)",A VARIABLE NEIGHBORHOOD SEARCH FOR THE CAPACITATED ARC ROUTING PROBLEM WITH TIME WINDOWS,"THIS PAPER PRESENTS A VARIABLE NEIGHBORHOOD SEARCH (VNS) SOLUTION APPROACH FOR THE CAPACITATED ARC ROUTING PROBLEM WITH TIME WINDOWS (CARPTW). THE PROBLEM HAS RECEIVED LESS ATTENTION COMPARED TO ITS VEHICLE ROUTING COUNTERPART. THE PROBLEM IS DEFINED ON A SET OF ARCS OR EDGES, A SET OF VEHICLES AND A COST FUNCTION MAPPING THE ARCS TO REAL NUMBERS. EACH ARC IS CHARACTERIZED WITH A NONNEGATIVE DEMAND, A NONNEGATIVE SERVICE TIME AND A TIME WINDOW IN WHICH THE SERVICE CAN START. THE VEHICLES ARE ASSUMED TO BE HOMOGENEOUS WITH EQUAL CAPACITY. THE SOLUTION TO THE PROBLEM CONSISTS OF DETERMINING A MINIMUM COST SET OF VEHICLE ROUTES STARTING AND ENDING AT A DEPOT NODE, SUCH THAT THE TOTAL DEMAND OF ARCS IS FULLY SATISFIED WHILE THE ARCS TIME WINDOWS AND VEHICLE CAPACITY BEING RESPECTED. WE PROPOSE A VNS METAHEURISTIC TO ADDRESS THE PROBLEM. THE EFFICIENCY OF OUR ALGORITHM IS EVALUATED ON BENCHMARKS FROM THE LITERATURE.",1,0,1,0,Capacitated Arc Routing Problem with Time-Windows,Capacitated Arc Routing Problem with Time-Windows,,,
"LABADI N, 2008, ADVANCES IN COMPUTATIONAL INTELLIGENCE IN TRANSPORT, LOGISTICS, AND SUPPLY CHAIN MANAGEMENT",GRASP WITH PATH RELINKING FOR THE CAPACITATED ARC ROUTING PROBLEM WITH TIME WINDOWS,"GREEDY RANDOMIZED ADAPTIVE SEARCH PROCEDURES (GRASP) ARE PROPOSED FOR THE UNDIRECTED CAPACITATED ARC ROUTING PROBLEM WITH TIME WINDOWS (CARPTW). CONTRARY TO THE VEHICLE ROUTING PROBLEM WITH TIME WINDOWS (VRPTW), THIS PROBLEM HAS RECEIVED LITTLE ATTENTION. THE PROCEDURES COMBINE SIMPLE COMPONENTS: A GREEDY RANDOMIZED HEURISTIC TO COMPUTE EITHER A GIANT TOUR (THREE VERSIONS) OR A FEASIBLE CARPTW SOLUTION (ONE VERSION), A TOUR-SPLITTING ALGORITHM FOR THE GIANT TOURS (TWO VERSIONS), A LOCAL SEARCH, AND AN OPTIONAL PATH RELINKING PROCESS. COMPUTATIONAL EXPERIMENTS ON THE CARPTW INDICATE THAT PROPOSED METAHEURISTICS COMPETE WITH THE BEST PUBLISHED ALGORITHMS: ON A SET OF 24 INSTANCES, THE BEST COMBINATION OF COMPONENTS FINDS 17 OPTIMA (INCLUDING 4 NEW ONES) AND IMPROVES 5 BEST-KNOWN SOLUTIONS. MOREOVER, WHEN APPLIED TO THE CARP WITHOUT TIME WINDOWS, THESE GRASPS ARE AS EFFECTIVE AS STATE-OF-THE-ART ALGORITHMS, WHILE BEING SIGNIFICANTLY FASTER.",1,0,1,1,Capacitated Arc Routing Problem with Time-Windows,Capacitated Arc Routing Problem with Time-Windows,,,
"REGHIOUI M, 2007, APPLICATIONS OF EVOLUTIONARY COMPUTING, PROCEEDINGS",GRASP WITH PATH RELINKING FOR THE CAPACITATED ARC ROUTING PROBLEM WITH TIME WINDOWS,"A GREEDY RANDOMIZED ADAPTIVE SEARCH PROCEDURE WITH PATH RELINKING IS PRESENTED FOR THE CAPACITATED ARC ROUTING PROBLEM WITH TIME WINDOWS. CONTRARY TO THE VEHICLE ROUTING PROBLEM WITH TIME WINDOWS, THIS PROBLEM RECEIVED LITTLE ATTENTION. NUMERICAL EXPERIMENTS INDICATE THAT THE PROPOSED METAHEURISTIC IS COMPETITIVE WITH THE BEST PUBLISHED ALGORITHMS: ON A SET OF 24 INSTANCES, IT REACHES THE OPTIMUM 17 TIMES AND IMPROVES THE BEST-KNOWN SOLUTION 5 TIMES, INCLUDING 4 NEW OPTIMA.",1,0,1,1,Capacitated Arc Routing Problem with Time-Windows,Capacitated Arc Routing Problem with Time-Windows,,,
"SNIEZEK J, 2006, ANN OPER RES",USING MIXED INTEGER PROGRAMMING FOR SOLVING THE CAPACITATED ARC ROUTING PROBLEM WITH VEHICLE/SITE DEPENDENCIES WITH AN APPLICATION TO THE ROUTING OF RESIDENTIAL SANITATION COLLECTION VEHICLES,"WE PRESENT THE COMPOSITE APPROACH FOR SOLVING THE CAPACITATED ARC ROUTING PROBLEM WITH VEHICLE/SITE DEPENDENCIES (CARP-VSD). WE ALSO PRESENT TWO MIXED INTEGER PROGRAMS, THE INITIAL FLEET MIX GENERATOR (IFM) AND THE MATHEMATICAL PROGRAMMING PROCEDURE (MPP), AND A MULTI-CRITERION FUNCTION CALLED THE MEASURE OF GOODNESS. THE IFM, MPP AND MEASURE OF GOODNESS ARE CRITICAL COMPONENTS OF THE COMPOSITE APPROACH. A KEY APPLICATION AREA OF THE CARP-VSD IS THE ROUTING OF RESIDENTIAL SANITATION VEHICLES, THROUGHOUT THIS PAPER, WE DERIVE PARAMETERS SPECIFIC TO THIS PROBLEM. IN THIS PAPER, WE DESCRIBE THE COMPOSITE APPROACH, THE IFM, THE MPP, THE MEASURE OF GOODNESS AND WORK OUT SEVERAL EXAMPLES IN DETAIL.",1,1,0,0,Capacitated Arc Routing Problem with Vehicle-to-Site Dependencies,Capacitated Arc Routing Problem with Vehicle-to-Site Dependencies,0,,
"SOLER D, 2008, J OPER RES SOC",A TRANSFORMATION FOR THE MIXED GENERAL ROUTING PROBLEM WITH TURN PENALTIES,"IN THIS PAPER, WE STUDY A GENERALIZATION OF THE MIXED GENERAL ROUTING PROBLEM (MGRP) WITH TURN PENALTIES AND FORBIDDEN TURNS. THUS, WE PRESENT A UNIFIED MODEL OF THIS KIND OF EXTENDED VERSIONS FOR BOTH NODE- AND ARC-ROUTING PROBLEMS WITH A SINGLE VEHICLE. WE PROVIDE A POLYNOMIAL TRANSFORMATION OF THIS GENERALIZATION INTO AN ASYMMETRIC TRAVELLING SALESMAN PROBLEM, WHICH CAN BE CONSIDERED A PARTICULAR CASE OF THE MGRP. WE SHOW COMPUTATIONAL RESULTS ON THE EXACT RESOLUTION ON A SET OF 128 INSTANCES OF THE NEW PROBLEM USING A RECENTLY DEVELOPED CODE FOR THE MGRP.",0,,,,,Directed Capacitated Arc Routing Problem,,,
"MANIEZZO V, 2008, RECENT ADVANCES IN EVOLUTIONARY COMPUTATION FOR COMBINATORIAL OPTIMIZATION",ALGORITHMS FOR LARGE DIRECTED CAPACITATED ARC ROUTING PROBLEM INSTANCES URBAN SOLID WASTE COLLECTION OPERATIONAL SUPPORT,"SOLID WASTE COLLECTION IN URBAN AREAS IS A CENTRAL TOPIC FOR LOCAL ENVIRONMENTAL AGENCIES. THE OPERATIONAL PROBLEM, THE DEFINITION OF COLLECTION ROUTES GIVEN THE VEHICLE FLEET, CAN GREATLY BENEFIT OF COMPUTERIZED SUPPORT ALREADY FOR MEDIUM SIZED TOWN. WHILE THE OPERATIONAL CONSTRAINTS CAN VARY, THE CORE PROBLEM CAN BE IDENTIFIED AS A CAPACITATED ARC ROUTING PROBLEM ON LARGE DIRECTED GRAPHS (DCARP). THIS PAPER REPORTS ABOUT THE EFFECTIVENESS OF DIFFERENT METAHEURISTICS ON LARGE DCARP INSTANCES DERIVED FROM REAL-WORLD APPLICATIONS.",1,0,1,0,Directed Capacitated Arc Routing Problem,Directed Capacitated Arc Routing Problem,,,
"CORBERAN A, 2001, MATH PROGRAM",A CUTTING PLANE ALGORITHM FOR THE GENERAL ROUTING PROBLEM,"THE GENERAL ROUTING PROBLEM (GRP) IS THE PROBLEM OF FINDING A MINIMUM COST ROUTE FOR A SINGLE VEHICLE, SUBJECT TO THE CONDITION THAT THE VEHICLE VISITS CERTAIN VERTICES AND EDGES OF A NETWORK. IT CONTAINS THE RURAL POSTMAN PROBLEM, CHINESE POSTMAN PROBLEM AND GRAPHICAL TRAVELLING SALESMAN PROBLEM AS SPECIAL CASES. WE DESCRIBE A CUTTING PLANE ALGORITHM FOR THE GRP BASED ON FACET-INDUCING INEQUALITIES AND SHOW THAT IT IS CAPABLE OF PROVIDING VERY STRONG LOWER BOUNDS AND, IN MOST CASES, OPTIMAL SOLUTIONS.",0,,,,,Dual Demand Capacitated Arc Routing Problem,,,
"YAZICI A, 2009, 2009 IEEE-RSJ INTERNATIONAL CONFERENCE ON INTELLIGENT ROBOTS AND SYSTEMS",A DYNAMIC PATH PLANNING APPROACH FOR MULTI-ROBOT SENSOR-BASED COVERAGE CONSIDERING ENERGY CONSTRAINTS,"IN THIS STUDY, A NOVEL DYNAMIC PATH PLANNING APPROACH IS PROPOSED FOR MULTI-ROBOT SENSOR-BASED COVERAGE CONSIDERING ENERGY CAPACITIES OF THE MOBILE ROBOTS. THE ENVIRONMENT IS ASSUMED TO BE NARROW AND PARTIALLY UNKNOWN. A GENERALIZED VORONOI DIAGRAM-BASED NETWORK IS USED FOR THE SENSOR-BASED COVERAGE PLANNING DUE TO NARROW NATURE OF THE ENVIRONMENT. ON THE OTHER HAND, PARTIALLY UNKNOWN NATURE IS HANDLED WITH PROPOSED DYNAMIC RE-PLANNING APPROACH. INITIALLY, THE ROBOTS ARE ASSUMED TO BE AT THE SAME DEPOT WITH EQUAL INITIAL ENERGY CAPACITIES. IN THIS CASE, AN INITIAL COMPLETE COVERAGE ROUTE IS CONSTRUCTED CONSIDERING ROBOT ENERGY CAPACITIES USING CLASSICAL CAPACITATED ARC ROUTING PROBLEM (CARP) APPROACH WITH SOME MINOR MODIFICATIONS RELATED TO COVERAGE PROBLEM. BUT, DUE TO PARTIALLY UNKNOWN NATURE, THE ROBOTS MAY FACE WITH BLOCKAGE ON ROUTES, AND A FAST RE-PLANNING IS REQUIRED WHICH CONSIDERS REMAINING ENERGY CAPACITIES AND CURRENT POSITIONS OF THE ROBOTS. SO, NEW PLAN IS OBTAINED BY A MODIFYING ULUSOY'S ALGORITHM THAT WAS DEVELOPED FOR CLASSICAL CARP. THE DEVELOPED ALGORITHM IS CODED IN C++ AND IMPLEMENTED ON P3-DX MOBILE ROBOTS IN MOBILESIM SIMULATION ENVIRONMENT.",1,0,1,,Dual Demand Capacitated Arc Routing Problem ,Dual Demand Capacitated Arc Routing Problem,0,,
"YAZICI A, 2014, IEEE T CYBERN",A DYNAMIC PATH PLANNING APPROACH FOR MULTIROBOT SENSOR-BASED COVERAGE CONSIDERING ENERGY CONSTRAINTS,"MULTIROBOT SENSOR-BASED COVERAGE PATH PLANNING DETERMINES A TOUR FOR EACH ROBOT IN A TEAM SUCH THAT EVERY POINT IN A GIVEN WORKSPACE IS COVERED BY AT LEAST ONE ROBOT USING ITS SENSORS. IN SENSOR-BASED COVERAGE OF NARROW SPACES, I.E., OBSTACLES LIE WITHIN THE SENSOR RANGE, A GENERALIZED VORONOI DIAGRAM (GVD)-BASED GRAPH CAN BE USED TO MODEL THE ENVIRONMENT. A COMPLETE SENSOR-BASED COVERAGE PATH PLAN FOR THE ROBOT TEAM CAN BE OBTAINED BY USING THE CAPACITATED ARC ROUTING PROBLEM SOLUTION METHODS ON THE GVD-BASED GRAPH. UNLIKE CAPACITATED ARC ROUTING PROBLEM, SENSOR-BASED COVERAGE PROBLEM REQUIRES TO CONSIDER TWO TYPES OF EDGE DEMANDS. THEREFORE, MODIFIED ULUSOY ALGORITHM IS USED TO OBTAIN MOBILE ROBOT TOURS BY TAKING INTO ACCOUNT TWO DIFFERENT ENERGY CONSUMPTION CASES DURING SENSOR-BASED COVERAGE. HOWEVER, DUE TO THE PARTIALLY UNKNOWN NATURE OF THE ENVIRONMENT, THE ROBOTS MAY ENCOUNTER OBSTACLES ON THEIR TOURS. THIS REQUIRES A REPLANNING PROCESS THAT CONSIDERS THE REMAINING ENERGY CAPACITIES AND THE CURRENT POSITIONS OF THE ROBOTS. IN THIS PAPER, THE MODIFIED ULUSOY ALGORITHM IS EXTENDED TO INCORPORATE THIS DYNAMIC PLANNING PROBLEM. A DYNAMIC PATH-PLANNING APPROACH IS PROPOSED FOR MULTIROBOT SENSOR-BASED COVERAGE OF NARROW ENVIRONMENTS BY CONSIDERING THE ENERGY CAPACITIES OF THE MOBILE ROBOTS. THE APPROACH IS TESTED IN A LABORATORY ENVIRONMENT USING PIONEER 3-DX MOBILE ROBOTS. SIMULATIONS ARE ALSO CONDUCTED FOR A LARGER TEST ENVIRONMENT.",1,0,1,0,Dual Demand Capacitated Arc Routing Problem ,Dual Demand Capacitated Arc Routing Problem,0,,
"PARLAKTUNA O, 2009, 2009 IEEE CONTROL APPLICATIONS CCA \& INTELLIGENT CONTROL (ISIC), VOLS 1-3",MULTI-ROBOT SENSOR-BASED COVERAGE PATH PLANNING USING CAPACITATED ARC ROUTING APPROACH,"IN THIS STUDY, A NOVEL SENSOR-BASED COVERAGE ALGORITHM IS PROPOSED FOR MULTI-ROBOTS CONSIDERING ENERGY CAPACITIES OF THE MOBILE ROBOTS. FIRSTLY, THE ENVIRONMENT IS MODELED BY A GENERALIZED VORONOI DIAGRAM-BASED GRAPH TO GUARANTEE COMPLETE SENSOR BASED COVERAGE. SECONDLY, DEPENDING ON REQUIRED ARC SET, AN INITIAL COMPLETE COVERAGE ROUTE IS CREATED BY USING CHINESE POSTMAN PROBLEM (CPP) AND/OR RURAL POSTMAN PROBLEM (RPP). THEN THIS INITIAL ROUTE IS PARTITIONED AMONG ROBOTS USING ULUSOY'S ALGORITHM, WHICH WAS DEVELOPED FOR BASIC CAPACITATED ARC ROUTING (CARP), BY CONSIDERING ROBOT ENERGY CAPACITIES. ALTHOUGH THE MULTI-ROBOT SENSOR-BASED COVERAGE PROBLEM RESEMBLES CARP, THERE ARE SOME DIFFERENCES. THEREFORE, ULUSOY'S ALGORITHM IS MODIFIED AND USED FOR THIS PROBLEM. THE DEVELOPED ALGORITHM IS CODED IN C++ AND IMPLEMENTED ON P3-DX MOBILE ROBOTS IN MOBILESIM SIMULATION ENVIRONMENT.",1,0,1,0,Dual Demand Capacitated Arc Routing Problem,Dual Demand Capacitated Arc Routing Problem,,,
"SIPAHIOGLU A, 2010, ROBOT AUTON SYST",ENERGY CONSTRAINED MULTI-ROBOT SENSOR-BASED COVERAGE PATH PLANNING USING CAPACITATED ARC ROUTING APPROACH,"MULTI-ROBOT SENSOR-BASED COVERAGE PATH PLANNING REQUIRES EVERY POINT GIVEN IN THE WORKSPACE HAS TO BE COVERED AT LEAST BY A SENSOR OF A ROBOT IN THE ROBOT TEAM. IN THIS STUDY, A NOVEL ALGORITHM WAS PROPOSED FOR THE SENSOR-BASED COVERAGE OF NARROW ENVIRONMENTS BY CONSIDERING ENERGY CAPACITIES OF THE ROBOTS. FOR THIS PURPOSE, THE ENVIRONMENT WAS MODELED BY A GENERALIZED VORONOI DIAGRAM-BASED GRAPH TO GUARANTEE COMPLETE SENSOR-BASED COVERAGE. THEN, DEPENDING ON THE REQUIRED ARC SET, A COMPLETE COVERAGE ROUTE WAS CREATED BY USING THE CHINESE POSTMAN PROBLEM OR THE RURAL POSTMAN PROBLEM, AND THIS ROUTE WAS PARTITIONED AMONG ROBOTS BY CONSIDERING ENERGY CAPACITIES. ROUTE PARTITIONING WAS REALIZED BY MODIFYING THE ULUSOY PARTITIONING ALGORITHM WHICH HAS POLYNOMIAL COMPLEXITY. THIS MODIFICATION HANDLES TWO DIFFERENT ENERGY CONSUMPTIONS OF MOBILE ROBOTS DURING SENSOR-BASED COVERAGE, WHICH WAS NOT CONSIDERED BEFORE. THE DEVELOPED ALGORITHM WAS CODED IN C + + AND IMPLEMENTED ON P3-DX MOBILE ROBOTS BOTH IN LABORATORY AND IN MOBILESIM SIMULATION ENVIRONMENTS. IT WAS SHOWN THAT THE CONVENIENT ROUTES FOR ENERGY CONSTRAINED MULTI-ROBOTS COULD BE GENERATED BY USING THE PROPOSED ALGORITHM IN LESS THAN 1 S. (C) 2010 ELSEVIER B.V. ALL RIGHTS RESERVED.",1,0,1,0,Dual Demand Capacitated Arc Routing Problem ,Dual Demand Capacitated Arc Routing Problem,,,
"LIU M, 2014, 2014 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC)",A BENCHMARK GENERATOR FOR DYNAMIC CAPACITATED ARC ROUTING PROBLEMS,"CAPACITATED ARC ROUTING PROBLEMS (CARPS) ARE USUALLY MODELED AS STATIC PROBLEMS, WHERE INFORMATION IS KNOWN IN ADVANCE AND ASSUMED TO REMAIN CONSTANT DURING THE COURSE OF OPTIMIZATION. HOWEVER, IN PRACTICE, MANY FACTORS SUCH AS DEMAND, ROAD ACCESSIBILITY, VEHICLE AVAILABILITY ETC. CHANGE DURING THE COURSE OF A MISSION AND THE ROUTE OF EACH VEHICLE MUST BE RECONFIGURED DYNAMICALLY. THIS PROBLEM IS REFERRED TO AS DYNAMIC CAPACITATED ARC ROUTING PROBLEM (DCARP) AND THERE HAVE BEEN LIMITED ATTEMPTS TO SOLVE SUCH PROBLEMS IN THE PAST. LACK OF STANDARD DCARP BENCHMARKS IS ONE OF THE KEY FACTORS LIMITING RESEARCH IN THIS DIRECTION. THIS PAPER INTRODUCES A BENCHMARK GENERATOR FOR DCARPS CONSIDERING INTERRUPTIONS/CHANGES THAT ARE LIKELY TO OCCUR IN REALISTIC SCENARIOS. THESE BENCHMARKS CAN BE USED TO EVALUATE THE STRENGTHS AND THE WEAKNESSES OF VARIOUS OPTIMIZATION ALGORITHMS ATTEMPTING TO SOLVE REALISTIC DCARP PROBLEMS.",1,0,0,0,Dynamic Capacitated Arc Routing Problem,Dynamic Capacitated Arc Routing Problem,,Benchmarks,
"CORBERAN A, 2006, COMPUT OPER RES",A COMPARISON OF TWO DIFFERENT FORMULATIONS FOR ARC ROUTING PROBLEMS ON MIXED GRAPHS,"ARC ROUTING PROBLEMS ON MIXED GRAPHS HAVE BEEN MODELLED IN THE LITERATURE EITHER USING JUST ONE VARIABLE PER EDGE OR ASSOCIATING TO EACH EDGE TWO VARIABLES, EACH ONE REPRESENTING ITS TRAVERSAL IN THE CORRESPONDING DIRECTION. IN THIS PAPER, AND USING THE MIXED GENERAL ROUTING PROBLEM AS AN EXAMPLE, WE COMPARE THEORETICAL AND COMPUTATIONALLY BOTH FORMULATIONS AS WELL AS THE LOWER BOUNDS OBTAINED FROM THEM USING LINEAR PROGRAMMING BASED METHODS. EXTENSIVE COMPUTATIONAL EXPERIMENTS, INCLUDING SOME BIG AND NEWLY GENERATED RANDOM INSTANCES, ARE PRESENTED. (C) 2005 ELSEVIER LTD. ALL RIGHTS RESERVED.",0,,,,,Dynamic Capacitated Arc Routing Problem,,,
"WEISE T, 2012, PROCEEDINGS OF THE FOURTEENTH INTERNATIONAL CONFERENCE ON GENETIC AND EVOLUTIONARY COMPUTATION CONFERENCE",A DEVELOPMENTAL SOLUTION TO (DYNAMIC) CAPACITATED ARC ROUTING PROBLEMS USING GENETIC PROGRAMMING,"A DEVELOPMENTAL, ONTOGENIC APPROACH TO CAPACITATED ARC ROUTING PROBLEMS (CARPS) IS INTRODUCED. THE GENOTYPES OF THIS METHOD ARE CONSTRUCTIVE HEURISTICS SPECIFIED AS TREES OF MATHEMATICAL FUNCTIONS WHICH ARE EVOLVED WITH GENETIC PROGRAMMING (GP). IN A GENOTYPE-PHENOTYPE MAPPING, THEY GUIDE A VIRTUAL VEHICLE WHICH STARTS AT THE DEPOT. THE GENOTYPE IS USED TO COMPUTE A HEURISTIC VALUE FOR EACH EDGE WITH UNSATISFIED DEMANDS. LOCAL INFORMATION SUCH AS THE VISITING COSTS FROM THE CURRENT POSITION, THE REMAINING LOAD OF THE VEHICLE, AND THE EDGE DEMANDS ARE AVAILABLE TO THE HEURISTIC. THE VIRTUAL VEHICLE THEN SERVES THE EDGE WITH THE LOWEST HEURISTIC VALUE AND IS LOCATED AT ITS END. THIS PROCESS IS REPEATED UNTIL ALL REQUIREMENTS HAVE BEEN SATISFIED. THE RESULTING PHENOTYPES ARE SETS OF TOURS WHICH, IN TURN, ARE SEQUENCES OF EDGES. WE SHOW THAT OUR METHOD HAS THREE ADVANTAGES: 1) THE GENOTYPES CAN BE REUSED TO SEED THE POPULATION IN NEW GP RUNS. 2) THE SIZE OF THE GENOTYPES IS INDEPENDENT FROM THE PROBLEM SCALE. 3) THE EVOLVED HEURISTICS EVEN WORK WELL IN MODIFIED OR DYNAMIC SCENARIOS AND ARE ROBUST IN THE PRESENCE OF NOISE.",1,0,1,1,Dynamic Capacitated Arc Routing Problem,Dynamic Capacitated Arc Routing Problem,0,Investigated,http://delivery.acm.org.library.sutd.edu.sg:2048/10.1145/2340000/2330278/p831-weise.pdf?ip=103.24.77.59&id=2330278&acc=ACTIVE%20SERVICE&key=FF6731C4D3E3CFFF%2E495F3CDBCC6F4CC2%2E4D4702B0C3E38B35%2E4D4702B0C3E38B35&__acm__=1557741512_53b353e0df8b4d6d66f3f0ff7467a2a4
"LIU M, 2014, 2014 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC)-a",A MEMETIC ALGORITHM WITH A NEW SPLIT SCHEME FOR SOLVING DYNAMIC CAPACITATED ARC ROUTING PROBLEMS,"CAPACITATED ARC ROUTING PROBLEMS (CARPS) ARE USUALLY MODELED AS STATIC PROBLEMS, WHERE ALL INFORMATION ABOUT THE PROBLEM IS KNOWN IN ADVANCE AND ASSUMED TO REMAIN CONSTANT DURING THE COURSE OF OPTIMIZATION. HOWEVER, IN PRACTICE, MANY FACTORS SUCH AS DEMAND, ROAD ACCESSIBILITY, VEHICLE AVAILABILITY ETC. CHANGE DURING THE COURSE OF A MISSION AND THE ROUTES OF EACH VEHICLE MUST BE RECONFIGURED DYNAMICALLY. THIS PROBLEM IS REFERRED TO AS DYNAMIC CAPACITATED ARC ROUTING PROBLEM (DCARP). IN THIS STUDY, A MEMETIC ALGORITHM WITH A NEW SPLIT SCHEME FOR DCARPS IS PROPOSED. THIS ALGORITHM IS CAPABLE TO SOLVE DCARPS WITH VARIATIONS IN VEHICLE AVAILABILITY, ROAD ACCESSIBILITY, ADDED/CANCELED TASKS OR DEMANDS AND TRAFFIC CONGESTIONS. THE ALGORITHM IS ALSO CAPABLE OF SOLVING STATIC CARPS. THE PERFORMANCE OF THE ALGORITHM IS REPORTED ON A 10-NODE AND THREE 100-NODE EXAMPLES IN ORDER TO DEMONSTRATE THE EFFICACY OF THE ALGORITHM IN SOLVING STATIC AND DYNAMIC PROBLEMS.",1,0,1,1,Dynamic Capacitated Arc Routing Problem,Dynamic Capacitated Arc Routing Problem,,,
"TAGMOUTI M, 2011, TRANSP RES PT C-EMERG TECHNOL",A DYNAMIC CAPACITATED ARC ROUTING PROBLEM WITH TIME-DEPENDENT SERVICE COSTS,"THIS PAPER DESCRIBES A DYNAMIC CAPACITATED ARC ROUTING PROBLEM MOTIVATED FROM WINTER GRITTING APPLICATIONS. IN THIS PROBLEM, THE SERVICE COST ON EACH ARC IS A PIECEWISE LINEAR FUNCTION OF THE TIME OF BEGINNING OF SERVICE. THIS FUNCTION ALSO EXHIBITS AN OPTIMAL TIME INTERVAL WHERE THE SERVICE COST IS MINIMAL. SINCE THE TIMING OF AN INTERVENTION IS CRUCIAL, THE DYNAMIC ASPECT CONSIDERED IN THIS WORK STEMS FROM CHANGES TO THESE OPTIMAL SERVICE TIME INTERVALS DUE TO WEATHER REPORT UPDATES. A VARIABLE NEIGHBORHOOD DESCENT HEURISTIC, INITIALLY DEVELOPED FOR THE STATIC VERSION OF THE PROBLEM, WHERE ALL SERVICE COST FUNCTIONS ARE KNOWN IN ADVANCE AND DO NOT CHANGE THEREAFTER, IS ADAPTED TO THIS DYNAMIC VARIANT. (C) 2010 ELSEVIER LTD. ALL RIGHTS RESERVED.",1,1,1,0,Dynamic Capacitated Arc Routing Problem with Time Windows,Dynamic Capacitated Arc Routing Problem with Time-Dependent Travel Costs,,,
"RODRIGUES AM, 2015, NETWORKS",WASTE COLLECTION ROUTING-LIMITED MULTIPLE LANDFILLS AND HETEROGENEOUS FLEET,"THIS ARTICLE DEALS WITH A REAL-LIFE WASTE COLLECTION ROUTING PROBLEM. TO EFFICIENTLY PLAN WASTE COLLECTION, LARGE MUNICIPALITIES MAY BE PARTITIONED INTO CONVENIENT SECTORS AND ONLY THEN CAN ROUTING PROBLEMS BE SOLVED IN EACH SECTOR. THREE DIVERSE SITUATIONS ARE DESCRIBED, RESULTING IN THREE DIFFERENT NEW MODELS. IN THE FIRST SITUATION, THERE IS A SINGLE POINT OF WASTE DISPOSAL FROM WHERE THE VEHICLES DEPART AND TO WHERE THEY RETURN. THE VEHICLE FLEET COMPRISES THREE TYPES OF COLLECTION VEHICLES. IN THE SECOND, THE GARAGE DOES NOT MATCH ANY OF THE POINTS OF DISPOSAL. THE VEHICLE IS UNIQUE AND THE POINTS OF DISPOSAL (LANDFILLS OR TRANSFER STATIONS) MAY HAVE LIMITATIONS IN TERMS OF THE NUMBER OF VISITS PER DAY. IN THE THIRD SITUATION, DISPOSAL POINTS ARE MULTIPLE (THEY DO NOT COINCIDE WITH THE GARAGE), THEY ARE LIMITED IN THE NUMBER OF VISITS, AND THE FLEET IS COMPOSED OF TWO TYPES OF VEHICLES. COMPUTATIONAL RESULTS BASED NOT ONLY ON INSTANCES ADAPTED FROM THE LITERATURE BUT ALSO ON REAL CASES ARE PRESENTED AND ANALYZED. IN PARTICULAR, THE RESULTS ALSO SHOW THE EFFECTIVENESS OF COMBINING SECTORIZATION AND ROUTING TO SOLVE WASTE COLLECTION PROBLEMS. (C) 2015 WILEY PERIODICALS, INC. NETWORKS, VOL. 65(2), 155-165 2015",1,0,1,0,Heterogeneous Capacitated Arc Routing Problem with Intermediate Facilities,Heterogeneous Capacitated Arc Routing Problem with Intermediate Facilities,,,
"TIRKOLAEE EB, 2018, WASTE MANAGE",A ROBUST PERIODIC CAPACITATED ARC ROUTING PROBLEM FOR URBAN WASTE COLLECTION CONSIDERING DRIVERS AND CREW'S WORKING TIME,"IN THIS PAPER, A NOVEL MATHEMATICAL MODEL IS DEVELOPED FOR ROBUST PERIODIC CAPACITATED ARC ROUTING PROBLEM (PCARP) CONSIDERING MULTIPLE TRIPS AND DRIVERS AND CREW'S WORKING TIME TO STUDY THE UNCERTAIN NATURE OF DEMAND PARAMETER. THE OBJECTIVE FUNCTION OF THE PROPOSED MODEL AIMS TO MINIMIZE TOTAL TRAVERSED DISTANCE AND TOTAL USAGE COST OF VEHICLES OVER A PLANNING PERIOD. TO SOLVE THE PROBLEM, AN IMPROVED HYBRID SIMULATED ANNEALING ALGORITHM (SA) IS DEVELOPED BASED ON A HEURISTIC ALGORITHM AND AN EFFICIENT COOLING EQUATION. IT HAS BEEN PROVED THAT THE PERFORMANCE OF THE PROPOSED ALGORITHM IS ACCEPTABLE IN COMPARISON WITH THE EXACT SOLUTION METHOD. FINALLY, THE RESULTS HAVE SHOWN THE EFFECTS OF DIFFERENT UNCERTAINTY LEVEL OF THE DEMAND PARAMETER ON THE PROBLEM TO BE CONSIDERED AS A MANAGERIAL OVERVIEW IN DECISION MAKING PROCESS UNDER UNCERTAINTY. (C) 2018 ELSEVIER LTD. ALL RIGHTS RESERVED.",1,0,1,0,Heterogeneous Periodic Mixed Capacitated Arc Routing Problem under Time Restrictions with Stochastic Demand,Heterogeneous Periodic Mixed Capacitated Arc Routing Problem Stochastic Demand,0,"Minimise usage cost of vehicles, stochastic or uncertain demand?",
